pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
3.0,2023-02-25 21:00:00,3.2,99.0,5.3
4.0,2023-03-15 04:00:00,4.668407310704956,77.81462140992167,9.1639686684073
5.0,2023-02-27 04:00:00,-0.6,62.0,14.6
23.0,2023-03-04 13:00:00,12.5,45.0,5.8
23.0,2023-03-03 09:00:00,4.7,90.0,5.8
26.0,2023-03-02 17:00:00,6.2,72.0,4.1
5.0,2023-03-08 17:00:00,10.6,66.0,20.7
36.0,2023-02-24 10:00:00,10.0,66.0,16.1
22.0,2023-03-08 03:00:00,1.8,95.0,4.0
35.0,2023-03-06 12:00:00,8.3,58.0,5.1
18.0,2023-02-28 07:00:00,-0.4,79.0,4.8
18.0,2023-03-08 08:00:00,6.4,85.0,2.5
11.0,2023-03-09 07:00:00,8.8,84.0,20.9
23.0,2023-02-28 15:00:00,3.3,60.0,8.7
32.0,2023-03-06 10:00:00,6.2,64.0,2.3
10.0,2023-03-09 02:00:00,6.8,86.0,20.7
4.0,2023-02-26 22:00:00,0.4,61.0,13.8
9.0,2023-02-27 14:00:00,3.2,45.0,15.4
27.0,2023-03-07 23:00:00,4.0,87.0,10.6
8.0,2023-02-25 08:00:00,5.6,98.0,7.4
38.0,2023-03-07 21:00:00,4.8,83.0,14.0
45.0,2023-02-23 00:00:00,3.4,91.0,5.9
24.0,2023-03-07 11:00:00,5.2,83.0,2.8
45.0,2023-03-07 18:00:00,6.8,74.0,14.2
5.0,2023-03-11 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
3.0,2023-03-11 10:00:00,4.668407310704956,77.81462140992167,9.1639686684073
26.0,2023-02-24 04:00:00,-0.3,96.0,9.4
23.0,2023-03-08 13:00:00,13.0,53.0,21.0
28.0,2023-02-24 00:00:00,2.6,93.0,11.3
24.0,2023-03-05 17:00:00,5.3,67.0,9.1
23.0,2023-02-25 04:00:00,4.7,91.0,7.0
57.0,2023-02-22 22:00:00,4.9,89.0,5.2
8.0,2023-03-13 12:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-03-07 09:00:00,3.3,89.0,4.7
51.0,2023-02-23 14:00:00,9.9,75.0,3.8
21.0,2023-03-02 14:00:00,7.6,59.0,7.6
7.0,2023-03-10 18:00:00,4.668407310704956,77.81462140992167,9.1639686684073
25.0,2023-03-09 20:00:00,9.8,80.0,11.2
25.0,2023-03-13 10:00:00,4.668407310704956,77.81462140992167,9.1639686684073
19.0,2023-02-22 00:00:00,5.8,76.0,2.3
49.0,2023-03-05 21:00:00,2.4,82.0,5.7
17.0,2023-02-25 07:00:00,5.0,99.0,3.8
22.0,2023-03-04 15:00:00,12.5,44.0,5.5
25.0,2023-03-13 23:00:00,4.668407310704956,77.81462140992167,9.1639686684073
29.0,2023-02-28 22:00:00,1.3,76.0,6.7
2.0,2023-03-14 23:00:00,4.668407310704956,77.81462140992167,9.1639686684073
5.0,2023-03-16 02:00:00,4.668407310704956,77.81462140992167,9.1639686684073
3.0,2023-03-14 14:00:00,4.668407310704956,77.81462140992167,9.1639686684073
7.0,2023-03-10 14:00:00,4.668407310704956,77.81462140992167,9.1639686684073
31.0,2023-03-04 20:00:00,3.9,79.0,3.9
15.0,2023-02-28 05:00:00,-0.9,78.0,4.1
8.0,2023-03-02 05:00:00,2.3,98.0,8.4
5.0,2023-02-26 01:00:00,1.1,95.0,6.3
26.0,2023-03-01 22:00:00,2.2,98.0,9.3
20.0,2023-03-02 13:00:00,7.3,60.0,8.8
20.0,2023-03-01 06:00:00,0.8,73.0,9.3
20.0,2023-03-09 18:00:00,11.2,71.0,11.0
34.0,2023-02-24 18:00:00,8.3,73.0,19.9
16.0,2023-02-22 04:00:00,2.7,87.0,4.0
7.0,2023-03-08 14:00:00,13.0,54.0,22.7
51.0,2023-03-05 20:00:00,2.9,77.0,7.3
5.0,2023-03-12 02:00:00,4.668407310704956,77.81462140992167,9.1639686684073
6.0,2023-02-27 05:00:00,-0.8,62.0,14.1
3.0,2023-03-15 00:00:00,4.668407310704956,77.81462140992167,9.1639686684073
37.0,2023-03-06 18:00:00,4.8,85.0,3.4
6.0,2023-03-10 13:00:00,4.668407310704956,77.81462140992167,9.1639686684073
31.0,2023-03-01 18:00:00,2.5,97.0,11.2
45.0,2023-02-23 13:00:00,10.2,72.0,3.4
29.0,2023-02-23 07:00:00,1.6,94.0,4.0
29.0,2023-03-06 05:00:00,0.9,98.0,3.1
4.0,2023-03-16 04:00:00,4.668407310704956,77.81462140992167,9.1639686684073
39.0,2023-03-07 01:00:00,2.1,98.0,5.9
12.0,2023-03-09 08:00:00,10.5,81.0,19.6
17.0,2023-03-13 07:00:00,4.668407310704956,77.81462140992167,9.1639686684073
5.0,2023-02-25 23:00:00,2.5,98.0,6.1
10.0,2023-03-13 15:00:00,4.668407310704956,77.81462140992167,9.1639686684073
21.0,2023-02-25 05:00:00,4.6,92.0,4.6
26.0,2023-03-02 21:00:00,3.1,88.0,3.1
38.0,2023-02-23 18:00:00,7.1,94.0,6.2
31.0,2023-03-04 17:00:00,10.0,57.0,7.5
9.0,2023-03-16 01:00:00,4.668407310704956,77.81462140992167,9.1639686684073
